city,name,code
강원특별자치도,강릉,NAT601936
강원특별자치도,강촌,NAT140701
강원특별자치도,고한,NAT650828
강원특별자치도,근덕,NAT752946
강원특별자치도,김유정,NAT140787
강원특별자치도,나전,NAT610326
강원특별자치도,남춘천,NAT140840
강원특별자치도,도계,NAT601122
강원특별자치도,동백산,NAT651053
강원특별자치도,동점,NAT600830
강원특별자치도,동해,NAT601485
강원특별자치도,동화,NAT020986
강원특별자치도,둔내,NATN10428
강원특별자치도,만종,NAT021033
강원특별자치도,망상,NAT601605
강원특별자치도,망상해변,NAT601602
강원특별자치도,묵호,NAT601545
강원특별자치도,민둥산,NAT650722
강원특별자치도,반곡,NAT021175
강원특별자치도,백마고지,NAT130944
강원특별자치도,백양리,NAT140681
강원특별자치도,별어곡,NAT610064
강원특별자치도,사북,NAT650782
강원특별자치도,삼척,NAT630129
강원특별자치도,삼척해변,NAT630078
강원특별자치도,서원주,NAT020864
강원특별자치도,선평,NAT610137
강원특별자치도,신기,NAT601275
강원특별자치도,신림,NAT021357
강원특별자치도,쌍룡,NAT650177
강원특별자치도,아우라지,NAT610387
강원특별자치도,연당,NAT650253
강원특별자치도,영월,NAT650341
강원특별자치도,예미,NAT650515
강원특별자치도,옥원,NAT752787
강원특별자치도,원주,NAT020947
강원특별자치도,임원,NAT752850
강원특별자치도,정동진,NAT601774
강원특별자치도,정선,NAT610226
강원특별자치도,진부,NATN10787
강원특별자치도,철암,NAT600870
강원특별자치도,추암,NAT630064
강원특별자치도,추전,NAT650918
강원특별자치도,춘천,NAT140873
강원특별자치도,태백,NAT650978
강원특별자치도,평창,NATN10625
강원특별자치도,함백,NAT650567
강원특별자치도,횡성,NATN10230
경기도,가남,NAT280090
경기도,가평,NAT140576
경기도,광명,NATH10219
경기도,능곡,NAT110165
경기도,대곡,NAT110180
경기도,대광리,NAT130844
경기도,대성리,NAT140362
경기도,덕소,NAT020178
경기도,도라산,NAT110557
경기도,동두천,NAT130531
경기도,동탄,NATH30326
경기도,마석,NAT140277
경기도,매곡,NAT020803
경기도,문산,NAT110460
경기도,부발,NAT250428
경기도,부천,NAT060121
경기도,사릉,NAT140133
경기도,삼산,NAT020884
경기도,서정리,NAT010670
경기도,서화성,NAT460000
경기도,석불,NAT020717
경기도,소요산,NAT130556
경기도,송추,NAT150231
경기도,수원,NAT010415
경기도,신망리,NAT130774
경기도,신탄리,NAT130888
경기도,아신,NAT020471
경기도,안양,NAT010239
경기도,안중,NAT460378
경기도,양동,NAT020845
경기도,양평,NAT020524
경기도,연천,NAT130738
경기도,오산,NAT010570
경기도,용문,NAT020641
경기도,운천,NAT110497
경기도,원릉,NAT150057
경기도,의정부,NAT130312
경기도,일산,NAT110249
경기도,일신,NAT020760
경기도,일영,NAT150167
경기도,임진강,NAT110520
경기도,장흥,NAT150191
경기도,전곡,NAT130652
경기도,지평,NAT020677
경기도,청평,NAT140436
경기도,초성리,NAT130597
경기도,탄현,NAT110265
경기도,퇴계원,NAT140098
경기도,파주,NAT110407
경기도,판교(경기),NAT250007
경기도,평내호평,NAT140214
경기도,평택,NAT010754
경기도,한탄강,NAT130627
경기도,행신,NAT110147
경기도,향남,NAT460187
경기도,화성시청,NAT460073
경상남도,군북,NAT880608
경상남도,마산,NAT880345
경상남도,물금,NAT014150
경상남도,밀양,NAT013841
