id,name,type1,type2,generation,hp,attack,defense,speed,legendary
1,포켓몬00001,불꽃,노말,4,77,40,193,31,0
2,포켓몬00002,에스퍼,독,1,27,28,60,64,0
3,포켓몬00003,풀,,9,127,61,119,155,0
4,포켓몬00004,풀,,3,198,113,92,76,0
5,포켓몬00005,비행,독,2,111,93,159,72,0
6,포켓몬00006,땅,,7,40,146,80,165,0
7,포켓몬00007,비행,,2,31,174,63,79,0
8,포켓몬00008,전기,,7,91,121,167,98,0
9,포켓몬00009,비행,노말,2,175,167,48,141,0
10,포켓몬00010,물,,5,183,181,147,61,0
11,포켓몬00011,풀,,6,122,73,21,59,0
12,포켓몬00012,벌레,,6,74,172,132,106,0
13,포켓몬00013,땅,물,4,210,148,142,72,0
14,포켓몬00014,독,,7,112,61,40,135,0
15,포켓몬00015,풀,,3,180,45,207,179,0
16,포켓몬00016,불꽃,,8,155,69,146,7,0
17,포켓몬00017,불꽃,,9,212,73,201,169,0
18,포켓몬00018,노말,,8,20,189,229,72,0
19,포켓몬00019,물,,2,242,165,81,168,0
20,포켓몬00020,전기,물,9,219,140,5,158,0
21,포켓몬00021,풀,비행,5,81,19,66,150,0
22,포켓몬00022,불꽃,,2,214,141,201,37,0
23,포켓몬00023,땅,,3,87,140,228,160,0
24,포켓몬00024,전기,,4,202,84,107,176,0
25,포켓몬00025,땅,,8,50,68,62,21,0
26,포켓몬00026,벌레,,4,21,23,186,166,0
27,포켓몬00027,불꽃,,6,38,136,65,76,0
28,포켓몬00028,전기,,8,82,126,211,109,0
29,포켓몬00029,불꽃,,6,128,110,124,18,0
30,포켓몬00030,불꽃,비행,2,83,54,53,142,0
31,포켓몬00031,독,땅,4,243,24,118,145,0
32,포켓몬00032,에스퍼,,2,212,65,47,109,0
33,포켓몬00033,전기,,1,62,102,5,104,0
34,포켓몬00034,땅,에스퍼,8,59,53,80,60,0
35,포켓몬00035,벌레,,1,211,85,19,17,0
36,포켓몬00036,에스퍼,,9,60,19,135,25,0
37,포켓몬00037,불꽃,,4,123,35,150,68,0
38,포켓몬00038,풀,,7,188,154,149,138,0
39,포켓몬00039,노말,비행,4,87,106,38,176,0
40,포켓몬00040,땅,,2,22,122,164,149,0
41,포켓몬00041,불꽃,,9,87,38,94,22,0
42,포켓몬00042,비행,땅,9,200,82,161,172,0
43,포켓몬00043,에스퍼,불꽃,3,87,34,32,146,0
44,포켓몬00044,노말,,6,72,180,167,72,0
45,포켓몬00045,노말,,1,43,167,113,75,0
46,포켓몬00046,비행,,5,61,118,146,114,0
47,포켓몬00047,불꽃,물,9,29,99,154,146,0
48,포켓몬00048,물,비행,1,250,96,58,179,0
49,포켓몬00049,불꽃,,9,246,109,163,44,0
50,포켓몬00050,전기,,3,245,110,11,50,0
51,포켓몬00051,비행,,7,225,176,226,68,0
52,포켓몬00052,불꽃,,1,239,125,61,56,0
53,포켓몬00053,땅,,4,77,11,173,54,0
54,포켓몬00054,노말,,5,109,169,135,107,0
55,포켓몬00055,에스퍼,,1,49,71,50,153,0
56,포켓몬00056,노말,벌레,7,108,85,116,160,0
57,포켓몬00057,불꽃,,4,85,16,186,116,1
58,포켓몬00058,에스퍼,,4,113,115,22,175,0
59,포켓몬00059,벌레,,2,204,81,134,84,0
60,포켓몬00060,비행,,5,161,37,54,112,0
61,포켓몬00061,독,,3,177,150,82,108,0
62,포켓몬00062,풀,,4,130,153,160,172,0
63,포켓몬00063,땅,,4,150,126,208,48,0
64,포켓몬00064,노말,,6,43,65,177,84,0
65,포켓몬00065,전기,풀,4,141,161,222,23,0
66,포켓몬00066,벌레,독,8,122,67,42,172,0
67,포켓몬00067,불꽃,,4,65,183,137,123,0
68,포켓몬00068,전기,,2,136,39,210,123,0
69,포켓몬00069,에스퍼,,8,176,189,134,114,0
70,포켓몬00070,에스퍼,,3,210,126,120,71,0
71,포켓몬00071,노말,,9,144,165,66,75,0
72,포켓몬00072,노말,비행,6,248,143,25,40,0
73,포켓몬00073,독,,4,36,111,109,89,0
74,포켓몬00074,독,,7,251,154,183,10,0
75,포켓몬00075,벌레,,1,110,81,197,104,0
76,포켓몬00076,독,,9,224,159,61,129,0
77,포켓몬00077,독,,7,106,176,178,108,0
78,포켓몬00078,땅,,9,26,105,156,149,0
79,포켓몬00079,불꽃,,3,241,123,51,17,0
80,포켓몬00080,비행,,6,214,102,76,112,0
81,포켓몬00081,불꽃,,9,33,94,62,171,0
82,포켓몬00082,풀,,4,71,10,164,44,0
83,포켓몬00083,땅,,4,139,184,70,99,0
84,포켓몬00084,벌레,,2,219,46,84,32,0
85,포켓몬00085,노말,,7,121,188,55,24,0
86,포켓몬00086,전기,노말,2,223,149,205,15,0
87,포켓몬00087,독,,2,149,170,92,8,0
88,포켓몬00088,땅,비행,8,201,44,116,50,0
89,포켓몬00089,노말,,9,218,128,124,116,0
90,포켓몬00090,벌레,전기,2,91,120,67,123,0
91,포켓몬00091,독,,8,237,88,51,129,0
92,포켓몬00092,노말,,5,162,7,137,53,0
93,포켓몬00093,독,,4,196,126,170,130,0
94,포켓몬00094,풀,전기,7,197,67,83,174,0
95,포켓몬00095,땅,,6,128,145,89,95,0
96,포켓몬00096,노말,,4,50,189,54,85,0
97,포켓몬00097,에스퍼,,3,69,60,194,128,0
98,포켓몬00098,벌레,,9,172,77,30,54,0
99,포켓몬00099,비행,풀,9,52,75,16,18,0
100,포켓몬00100,물,,8,46,8,151,77,0
101,포켓몬00101,땅,,1,84,127,34,21,0
102,포켓몬00102,불꽃,,1,58,43,212,149,0
