date,region,product,amount,qty,memo
2025-10-16,경기,상품_16,1182789,38,재구매
2026-07-03,경기,상품_01,3385294,79,정상
2026-07-12,전라,상품_11,4481357,91,신규고객
2025-10-27,제주,상품_08,343783,88,정상
2026-09-10,경기,상품_18,959754,80,대량주문
2026-08-11,강원,상품_02,4956341,5,
2026-06-29,서울,상품_12,1197051,100,정상
2025-10-29,전라,상품_08,693095,24,할인적용
2026-08-21,전라,상품_11,931560,44,정상
2026-03-10,제주,상품_18,1636432,7,할인적용
2026-07-19,충청,상품_08,966609,69,
2026-01-29,경기,상품_19,4218032,27,
2026-06-20,충청,상품_01,1339908,3,
2025-10-14,서울,상품_15,2447922,16,대량주문
2026-02-14,경기,상품_16,4654000,40,대량주문
2026-03-03,충청,상품_18,4651253,72,재구매
2025-12-19,경상,상품_19,3006690,96,
2025-10-07,서울,상품_07,1351871,41,재구매
2025-10-06,경기,상품_02,1202805,62,
2026-05-24,경기,상품_05,2953627,62,
2025-11-04,서울,상품_12,2692599,4,대량주문
2026-09-14,전라,상품_05,2180351,38,
2026-03-29,서울,상품_16,50868,72,
2026-04-05,강원,상품_05,3660411,70,정상
2025-11-24,충청,상품_16,4885884,59,할인적용
2026-07-13,인천,상품_07,2426302,3,대량주문
2026-08-28,인천,상품_13,3824564,73,
2026-08-06,경기,상품_11,4899342,33,배송주의
2026-01-26,인천,상품_02,4977158,48,정상
2026-05-04,강원,상품_03,2644471,93,
2026-08-05,전라,상품_12,1983051,56,재구매
2025-10-27,경기,상품_04,1082830,74,
2026-02-24,전라,상품_16,241229,15,
2026-03-28,인천,상품_13,3332609,70,재구매
2025-11-18,강원,상품_16,1798601,54,대량주문
2025-10-20,충청,상품_01,3008533,45,
2026-03-22,전라,상품_16,2908153,93,
2026-08-18,강원,상품_08,300507,83,대량주문
2026-08-15,서울,상품_16,2823124,41,할인적용
2026-03-17,경상,상품_04,3115288,24,
2026-05-20,전라,상품_07,4677369,61,신규고객
2026-02-21,전라,상품_07,4559311,89,배송주의
2025-11-21,전라,상품_10,2232177,67,
2026-02-20,전라,상품_08,4945930,8,대량주문
2026-05-31,전라,상품_14,4728335,7,할인적용
2026-06-15,인천,상품_08,2562725,53,
2026-08-03,경상,상품_06,226063,22,배송주의
2026-01-11,충청,상품_06,1949220,16,재구매
2026-04-07,충청,상품_13,4843061,46,할인적용
2026-06-10,전라,상품_15,4912916,90,대량주문
2025-12-31,전라,상품_16,849464,88,할인적용
2025-10-27,인천,상품_12,2577030,89,할인적용
2026-01-09,서울,상품_05,2146953,43,대량주문
2026-04-01,충청,상품_08,4281695,17,할인적용
2026-09-04,전라,상품_07,1589358,16,정상
2025-10-10,전라,상품_10,3412051,64,할인적용
2025-11-30,전라,상품_20,4035707,40,배송주의
2026-03-31,전라,상품_11,619934,43,
2026-08-06,전라,상품_07,1842381,93,
2025-09-20,서울,상품_16,1745964,85,신규고객
2026-04-03,전라,상품_06,57509,23,
2026-05-19,제주,상품_16,3415917,19,정상
2026-08-22,전라,상품_05,476364,10,
2026-05-09,충청,상품_03,829683,21,
2026-04-17,전라,상품_08,3491853,81,배송주의
2025-12-25,경상,상품_15,1070114,57,
2026-06-30,경상,상품_04,940678,80,배송주의
2026-03-03,인천,상품_03,1084857,88,신규고객
2025-09-27,충청,상품_03,1379287,69,신규고객
2026-01-26,서울,상품_18,4673053,29,배송주의
2026-02-10,경상,상품_04,828452,51,
2026-04-26,인천,상품_08,3612435,20,
2026-08-02,경기,상품_18,4257214,29,정상
2026-07-05,인천,상품_15,1056777,33,
2026-01-13,전라,상품_18,2929723,41,정상
2025-10-03,강원,상품_06,3260600,32,배송주의
2026-01-16,제주,상품_02,622796,70,재구매
2026-01-11,경기,상품_06,3686872,66,할인적용
2025-09-18,강원,상품_14,1795324,16,신규고객
2026-01-24,경상,상품_14,3754608,86,
2026-02-19,충청,상품_16,1929632,87,대량주문
2025-11-13,제주,상품_06,4310347,87,신규고객
2025-10-08,경기,상품_17,2843096,4,할인적용
2025-10-14,인천,상품_05,2151394,26,
2026-09-01,제주,상품_07,2717435,58,배송주의
2025-11-09,서울,상품_18,3354540,24,
2026-07-26,전라,상품_06,834007,95,
2026-07-08,강원,상품_18,3564215,79,배송주의
2026-06-24,강원,상품_13,4988911,59,배송주의
2025-12-17,충청,상품_11,1890946,38,재구매
2026-03-25,경상,상품_06,3627381,57,
2026-08-17,제주,상품_08,2390861,4,할인적용
2026-08-25,인천,상품_12,4554985,85,배송주의
2026-05-29,경기,상품_12,4467443,41,신규고객
2026-01-18,경기,상품_17,1451311,4,
2026-03-29,전라,상품_08,1127549,47,
2025-10-19,서울,상품_11,1055076,40,배송주의
2025-10-03,제주,상품_03,1983993,56,배송주의
2026-04-08,인천,상품_09,1275920,46,할인적용
2026-07-31,충청,상품_05,4173520,97,
2026-06-24,제주,상품_16,4953963,27,신규고객
2026-09-02,강원,상품_13,1766242,75,할인적용
2026-06-18,인천,상품_07,1754875,41,배송주의
2025-12-08,강원,상품_10,1927228,2,
2026-02-11,강원,상품_12,2910946,60,재구매
2026-04-24,강원,상품_16,527338,11,정상
2026-08-03,인천,상품_19,1223943,24,재구매
2025-09-28,경상,상품_10,3812078,93,
2025-12-13,서울,상품_20,1639445,63,
2026-06-16,전라,상품_06,4997400,90,정상
2025-09-28,제주,상품_13,3836847,20,할인적용
2026-05-16,전라,상품_06,4193998,34,
2026-09-09,인천,상품_12,3501983,67,배송주의
2026-06-16,인천,상품_09,4718493,18,
2026-05-03,서울,상품_14,3640701,20,
2026-04-17,전라,상품_11,3319679,60,
2026-06-14,인천,상품_10,28431,54,대량주문
2025-11-21,제주,상품_13,4824938,25,신규고객
2025-11-25,서울,상품_16,4843073,16,
2026-01-30,강원,상품_04,2408505,17,재구매
2026-01-02,경상,상품_10,1971938,28,
2026-08-29,전라,상품_03,4440422,23,
2026-06-22,인천,상품_04,4366691,2,신규고객
2026-07-29,강원,상품_04,710066,71,
2025-09-29,충청,상품_07,1814069,85,재구매
2026-05-09,경기,상품_13,439600,41,대량주문
2025-12-18,제주,상품_02,1461657,54,정상
2026-03-22,인천,상품_01,2760545,41,신규고객
2026-02-12,경상,상품_09,607614,63,정상
2026-08-25,강원,상품_04,3730973,27,재구매
2026-09-09,인천,상품_12,1595727,19,
2025-11-07,전라,상품_02,1684473,87,대량주문
2026-01-27,충청,상품_17,847203,72,재구매
2025-09-18,전라,상품_15,4365340,14,대량주문
2026-06-04,강원,상품_11,3584027,71,
2026-05-09,경상,상품_03,563829,86,정상
2026-04-20,서울,상품_04,561915,63,정상
2026-05-28,인천,상품_15,3382419,97,할인적용
2025-11-02,전라,상품_18,2185858,4,
2026-03-27,인천,상품_17,2404875,11,정상
2026-05-13,경기,상품_18,737899,87,정상
2025-09-22,전라,상품_17,2933262,50,
2025-09-16,제주,상품_09,1325444,46,
2026-08-29,충청,상품_04,4624444,22,신규고객
2025-11-13,서울,상품_14,4461890,52,
2026-08-07,전라,상품_10,2066891,99,할인적용
2026-06-14,서울,상품_14,2590026,91,신규고객
2026-08-24,충청,상품_14,2068145,63,재구매
2026-04-22,전라,상품_06,1143366,28,신규고객
2026-08-27,인천,상품_04,4984011,64,정상
2026-09-11,서울,상품_15,2838166,37,배송주의
2026-06-12,서울,상품_13,4883862,51,대량주문
2026-05-10,전라,상품_11,3027735,81,신규고객
2026-04-19,강원,상품_15,559155,56,
2026-04-16,인천,상품_17,1206614,78,할인적용
2025-09-30,강원,상품_05,1383811,81,
2026-04-16,인천,상품_04,1014044,15,
2025-11-10,인천,상품_09,181714,22,재구매
2026-04-25,제주,상품_03,1348260,50,
2026-09-01,충청,상품_04,271965,78,
2025-12-23,경기,상품_05,3066135,21,
2026-03-26,서울,상품_10,4382684,2,재구매
2026-09-01,경상,상품_03,3115226,87,신규고객
2026-03-09,충청,상품_08,3749470,25,
2026-09-09,서울,상품_01,4096784,4,
2025-11-21,전라,상품_02,1592463,17,
2026-03-31,제주,상품_18,4196554,42,
2026-02-25,인천,상품_10,4814044,9,재구매
2026-09-04,경기,상품_10,1739612,53,
2026-05-11,충청,상품_09,671734,55,신규고객
2025-10-25,경기,상품_08,2941966,56,
2026-01-31,충청,상품_17,4275642,25,
2026-07-18,전라,상품_12,1184086,88,배송주의
2025-09-17,강원,상품_10,1664538,68,
2026-06-14,충청,상품_20,1891930,12,
2026-06-29,경기,상품_20,1423627,13,
2026-01-14,제주,상품_17,2963491,44,재구매
2026-04-24,충청,상품_18,4691579,51,대량주문
2026-05-15,전라,상품_05,2490882,5,
2026-07-24,제주,상품_17,2380974,33,
2026-09-12,강원,상품_16,1431697,39,대량주문
2026-04-26,강원,상품_05,640724,58,대량주문
2025-09-24,경기,상품_14,1714989,37,재구매
2025-12-11,서울,상품_01,2165272,1,
